  → pod=target-app-57f655b559-svnq4 status=200  latency=1487.2ms
  → pod=target-app-57f655b559-wwxg6 status=200  latency=1555.3ms
[34/756] 2022-04-10T22:40:00  total_mb=4702  pods=2
  → pod=target-app-57f655b559-svnq4 status=200  latency=1384.0ms
  → pod=target-app-57f655b559-wwxg6 status=200  latency=1445.9ms
[35/756] 2022-04-10T23:20:00  total_mb=4835  pods=2
  → pod=target-app-57f655b559-svnq4 status=200  latency=1436.9ms
  → pod=target-app-57f655b559-wwxg6 status=200  latency=1388.2ms
[36/756] 2022-04-11T00:00:00  total_mb=4847  pods=2
  → pod=target-app-57f655b559-svnq4 status=200  latency=1587.2ms
  → pod=target-app-57f655b559-wwxg6 status=200  latency=1399.4ms
[37/756] 2022-04-11T00:40:00  total_mb=4934  pods=2
  → pod=target-app-57f655b559-svnq4 status=200  latency=1429.7ms
  → pod=target-app-57f655b559-wwxg6 status=200  latency=1649.9ms
[38/756] 2022-04-11T01:20:00  total_mb=5018  pods=2
  → pod=target-app-57f655b559-svnq4 status=200  latency=1474.1ms
  → pod=target-app-57f655b559-wwxg6 status=200  latency=1487.9ms
[39/756] 2022-04-11T02:00:00  total_mb=5108  pods=2
  → pod=target-app-57f655b559-svnq4 status=200  latency=1631.6ms
  → pod=target-app-57f655b559-wwxg6 status=200  latency=1528.5ms
[40/756] 2022-04-11T02:40:00  total_mb=5079  pods=2
  → pod=target-app-57f655b559-svnq4 status=200  latency=1620.5ms
  → pod=target-app-57f655b559-wwxg6 status=200  latency=1658.7ms
[41/756] 2022-04-11T03:20:00  total_mb=5086  pods=2
  → pod=target-app-57f655b559-svnq4 status=200  latency=1664.4ms
  → pod=target-app-57f655b559-wwxg6 status=200  latency=1653.8ms
[42/756] 2022-04-11T04:00:00  total_mb=5132  pods=2
  → pod=target-app-57f655b559-svnq4 status=200  latency=1577.2ms
  → pod=target-app-57f655b559-wwxg6 status=200  latency=1646.1ms
[43/756] 2022-04-11T04:40:00  total_mb=5209  pods=2
  → pod=target-app-57f655b559-svnq4 status=200  latency=1623.8ms
  → pod=target-app-57f655b559-wwxg6 status=200  latency=1601.7ms
[44/756] 2022-04-11T05:20:00  total_mb=5211  pods=2
