timestamp,timestamp_date_format,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12
1641038400000,1/1/22 12:00,31878023200,26655412200,26805043200,26424064000,11340135400,10700685300,26414485500,27234750500,26306482200,31052990500,26872670200,10193045500
1641039600000,1/1/22 12:20,31844231200,26656237600,26808059900,26407962600,11338059800,10699866100,26416214000,27237036000,26313095200,31051382800,26875813900,10190737400
1641040800000,1/1/22 12:40,31808802800,26655410200,26812708900,26425999400,11339161600,10681137200,26412896300,27239288800,26320271400,31051212800,26884689900,10192085000
1641042000000,1/1/22 13:00,31800438800,26664515600,26815170600,26418468900,11339196400,10641763300,26411300900,27253250000,26314143700,31054731300,26888237100,10193183700
1641043200000,1/1/22 13:20,31800854500,26672549900,26813157400,26446835700,11341077500,10640438300,26413914100,27253008400,26266673200,31055999000,26884071400,10194024400
1641044400000,1/1/22 13:40,31795861500,26668806100,26819600400,26425239600,11338516500,10641444900,26415896600,27255310300,26267344900,31058507800,26883512300,10195909600
1641045600000,1/1/22 14:00,31786041300,26672934900,26816729100,26422564900,11338897400,10642993200,26424062000,27256832000,26262835200,31058456600,26893936600,10196159500
1641046800000,1/1/22 14:20,31786154000,26672033800,26818940900,26422884400,11340523500,10644547600,26431072300,27258290200,26267078700,31062065200,26908774400,10198276100
1641048000000,1/1/22 14:40,31767459800,26668003300,26827571200,26422984700,11342308400,10642514900,26430386200,27255734300,26267500500,31068250100,26895564800,10200293400
1641049200000,1/1/22 15:00,31773667300,26672652300,26826246100,26426757100,11341641700,10648014800,26435471400,27265513500,26267652100,31058722800,26901850100,10200157200
1641050400000,1/1/22 15:20,31761582100,26674229200,26834047000,26420832300,11343409200,10649169900,26389186600,27260160000,26264416300,31062530000,26899550200,10201935900
1641051600000,1/1/22 15:40,31758897200,26674335700,26833850400,26432718800,11346182100,10650697700,26372268000,27266891800,26266564600,31061948400,26899681300,10202836000
1641052800000,1/1/22 16:00,31761643500,26678564900,26828519400,26442836000,11338731500,10650334200,26372503600,27272826900,26269745200,31065292800,26907017200,10174864400
1641054000000,1/1/22 16:20,31763865600,26679584800,26835525600,26455265300,11282791400,10652139500,26373988400,27276058600,26270408700,31066411000,26904858600,10141311000
1641055200000,1/1/22 16:40,31749113900,26727381000,26830991400,26450241500,11285998600,10653997100,26376507400,27258894300,26265466900,31068358700,26903629800,10143567900
1641056400000,1/1/22 17:00,31736836100,26724075500,26831665200,26440364000,11285994500,10653374500,26375833600,27272736800,26272118800,31071451100,26905122800,10143897600
1641057600000,1/1/22 17:20,31727464400,26725128200,26802569200,26446653400,11287374800,10657263600,26375233500,27268114400,26267238400,31074725900,26908565500,10145795100
1641058800000,1/1/22 17:40,31711193100,26746126300,26790567900,26445467600,11289927700,10659984400,26392819700,27265638400,26271588400,31067361300,26914431000,10147204100
1641060000000,1/1/22 18:00,31708768300,26732171300,26775642100,26444580900,11289205800,10659006500,26377426900,27268395000,26275233800,31074463700,26846269400,10147687400
1641061200000,1/1/22 18:20,31712237600,26734788600,26773319700,26441539600,11293275100,10665795600,26381097000,27265536000,26271369200,31072847900,26847608800,10151473200
1641062400000,1/1/22 18:40,31698137100,26728964100,26774407200,26448560100,11308596200,10680204300,26379356200,27267989500,26275219500,31076702200,26847492100,10165021700
1641063600000,1/1/22 19:00,31687272400,26727917600,26772906000,26449745900,11315670000,10681829400,26380261400,27188916200,26276143100,31081885700,26841124900,10170780700
1641064800000,1/1/22 19:20,31681706000,26727729200,26770915300,26453925900,11315406800,10684231700,26381762600,27139104800,26293063700,31015725100,26838439900,10172615700
1641066000000,1/1/22 19:40,31673471000,26731120600,26774384600,26445520900,11316657200,10685974500,26381410300,27144618000,26286252000,31008880600,26844325900,10175730700
1641067200000,1/1/22 20:00,31664326700,26726494200,26772946900,26444150800,11315904500,10687627300,26386976800,27147870200,26276900900,30945599500,26842075100,10178316300
1641068400000,1/1/22 20:20,31665571800,26730891300,26778531800,26444525600,11318316000,10687681500,26383364100,27144923100,26277392400,30947348500,26846744600,10179221500
1641069600000,1/1/22 20:40,31647852500,26731436000,26781501400,26440069100,11322907600,10690708500,26381826000,27152830500,26278748200,30949433300,26846781400,10180573200
1641070800000,1/1/22 21:00,31651762200,26733129700,26711474200,26445494300,11318046700,10690050000,26379946000,27149717500,26288367600,30948302800,26847621100,10182530000
1641072000000,1/1/22 21:20,31646687200,26735288300,26732423200,26448330800,11323679700,10684890100,26377840600,27140382700,26308212700,30941904900,26850089000,10184130600
1641073200000,1/1/22 21:40,31634481200,26733621200,26715744300,26446905300,11324924900,10686500900,26378850300,27141994500,26296012800,30951125000,26851514400,10184997900
1641074400000,1/1/22 22:00,31634206700,26739157000,26716753900,26450853900,11324810200,10687177700,26383738900,27152982000,26281347100,30955903000,26875613200,10185877500
1641075600000,1/1/22 22:20,31628607500,26736785400,26716731400,26451120100,11325786100,10687649800,26313193500,27144914900,26277785600,30945468400,26854576100,10187928600
1641076800000,1/1/22 22:40,31621105700,26739386400,26719021100,26447018000,11329012700,10686500900,26318491600,27143213100,26282102800,30954448900,26850654200,10189653000
1641078000000,1/1/22 23:00,31488933900,26746322900,26720401400,26463815700,11323441200,10697458700,26319034400,27153395700,26281895900,30962722800,26850601000,10190327800
1641079200000,1/1/22 23:20,31439179800,26758803500,26733838300,26475415600,11340180500,10710054900,26324957200,27160332300,26278869000,30968916000,26851743700,10184761300
1641080400000,1/1/22 23:40,31442413600,26759309300,26736400400,26478571500,11342818300,10712765400,26324932600,27160903700,26281920500,30961707000,26859315200,10187145200
1641081600000,1/2/22 0:00,31443134500,26762682400,26738419700,26482812900,11343850500,10712401900,26339754000,27164467200,26289707000,30969667600,26855960600,10189447200
1641082800000,1/2/22 0:20,31435866100,26751137800,26737377300,26457565200,11345997800,10714227700,26344577000,27166089200,26285324300,30970775600,26867099600,10189005800
1641084000000,1/2/22 0:40,31423735800,26734555100,26708940800,26449483800,11341192200,10705308700,26314356700,27143254000,26270117900,30960140300,26854764500,10195699700
1641085200000,1/2/22 1:00,31444092900,26736472100,26712813600,26446794800,11331486700,10692873200,26311198700,27140341800,26275723300,30941730800,26845003800,10195267600
1641086400000,1/2/22 1:20,31445256200,26743224300,26720243700,26446700500,11334361100,10695195600,26318841900,27138947100,26273308700,30943307800,26848813100,10195855400
1641087600000,1/2/22 1:40,31446493200,26737971200,26719633400,26446987300,11338225700,10696574000,26318911500,27139409900,26273173500,30944409600,26854228000,10199552000
1641088800000,1/2/22 2:00,31449571300,26733353000,26715383800,26452019200,11336557600,10698312700,26315661300,27141474300,26279886800,30944163800,26852497400,10200789000
1641090000000,1/2/22 2:20,7657852900,8191953400,24302233600,26462826500,11340277800,10699065300,26326816800,27145891800,26279913500,30948120600,26859485200,10202728400
1641091200000,1/2/22 2:40,7837889500,7664441300,7711353900,7740333600,5621845000,8815610900,26321864700,27144218600,26279069700,30949142500,26859917300,10204194800
1641092400000,1/2/22 3:00,7852240400,7766216700,7817430000,7860999200,5969549300,5166616600,8061162000,5851683800,21413498900,30945558500,26852542500,10205300700
1641093600000,1/2/22 3:20,7864218600,7914828800,7825484800,8063319000,6445786100,5582381100,8199920600,8619878400,8095176700,8680429600,6912239600,7840198100
1641094800000,1/2/22 3:40,7864605700,7927384100,8098519000,8214355500,6523982300,5721868300,8205483500,8651052000,8121665000,8751928300,7034854400,5071701000
1641096000000,1/2/22 4:00,7853903400,7944451100,8186716200,8242496000,6521695700,5727807500,8208115700,8659162100,8151989200,8897304600,7162130400,5210018300
1641097200000,1/2/22 4:20,8004322800,8069449200,8175767600,8368039900,6512575000,5721233400,8220724700,8662374400,8164967400,9899079700,7188604900,5241706000
1641098400000,1/2/22 4:40,9357102100,8068389900,8420230100,8373582300,6518904300,5717476900,8193800200,8674433000,8817417200,11033319400,7320347600,5295869400
1641099600000,1/2/22 5:00,9351684100,8072443900,8609645600,8420202000,6526623700,5723214300,8197404200,8669360100,9253426200,11367039000,7314674200,5742842400
1641100800000,1/2/22 5:20,11481851900,8082324500,8600596500,9062634500,6536994300,5798159900,8414870000,8668191700,9749647400,11718380500,8453560300,5910269400
1641102000000,1/2/22 5:40,22658070500,8333422600,8858239000,10506614800,6573921800,6546759700,12335146000,9336321000,10515746800,12211973100,11584441300,5987739600
1641103200000,1/2/22 6:00,29907200000,8350170100,8901965800,11253861400,6819855900,7110788100,13609003000,11920887800,10525030400,17024203800,11801463800,6056433700
1641104400000,1/2/22 6:20,30253269000,8354679800,9338112000,11299616800,6988299300,7648418300,14227694600,14166179800,10975214600,20063184900,11914627100,6164244500
1641105600000,1/2/22 6:40,30295978000,9103514600,9671099400,15160157200,6928687100,8247570900,15404778500,14274687000,11978959900,20405129200,11944133600,6677278700
1641106800000,1/2/22 7:00,30292955100,9496719400,10036209700,15695977500,6944492500,8807289900,15762928600,14343329800,12020491300,20488161300,11983049700,7205099500
1641108000000,1/2/22 7:20,30312890400,10217226200,10508179500,15713978400,7293723100,9370945500,16134706200,15815787500,12424645600,20618143700,12069191700,7782683600
1641109200000,1/2/22 7:40,30383122400,13126682600,13347816400,17907968000,7862514200,9931700200,17386154000,20104263700,14997162000,20881588200,12094583800,8390168100
